from_stop_id,to_stop_id,transfer_type,min_transfer_time,from_trip_id,to_trip_id
9340027,9340655,2,180,,
9340027,9340671,2,720,,
9340027,9340689,2,480,,
9340050,9340503,2,240,,
9340050,9340561,2,180,,
9340244,9340243,2,420,,
9340362,9340364,2,300,,
9340398,9340397,2,120,,
9340450,9340455,2,60,,
9340455,9340450,2,60,,
9340503,9340050,2,240,,
9340503,9340561,2,420,,
9340510,9340537,2,60,,
9340537,9340510,2,60,,
9340561,9340050,2,180,,
9340561,9340503,2,420,,
9340655,9340027,2,180,,
9340655,9340671,2,1020,,
9340655,9340689,2,780,,
9340671,9340027,2,720,,
9340671,9340655,2,1020,,
9340673,9340679,2,180,,
9340689,9340027,2,480,,
9340689,9340655,2,780,,
9341107,9341165,2,300,,
9341110,9341177,2,180,,
9341111,9341173,2,240,,
9341116,9341150,2,270,,
9341150,9341116,2,270,,
9341165,9341107,2,300,,
9341173,9341111,2,240,,
9341177,9341110,2,180,,
9350012,9340465,2,180,,
9350125,9350316,2,240,,
9350127,9350330,2,300,,
9350141,9350143,2,180,,
9350143,9350141,2,180,,
9350149,9350235,2,300,,
9350152,9350463,2,360,,
9350160,9350255,2,480,,
9350162,9350175,2,600,,
9350163,9350796,2,180,,
9350163,9350798,2,600,,
9350175,9350162,2,600,,
9350235,9350149,2,300,,
9350255,9350160,2,480,,
9350266,9350911,2,300,,
9350316,9350125,2,240,,
9350330,9350127,2,300,,
9350417,9350437,2,60,,
9350437,9350417,2,60,,
9350463,9350152,2,360,,
9350505,9350811,2,360,,
9350690,9350695,2,60,,
9350695,9350690,2,60,,
9350796,9350163,2,180,,
9350796,9350798,2,420,,
9350798,9350163,2,600,,
9350798,9350796,2,420,,
9350811,9350505,2,360,,
9350911,9350266,2,300,,
9360001,9360175,2,60,,
9360043,9360108,2,240,,
9360045,9360071,2,180,,
9360066,9360114,2,420,,
9360071,9360045,2,180,,
9360108,9360043,2,240,,
9360114,9360066,2,420,,
9360175,9360001,2,60,,
9360228,9360229,2,60,,
9360229,9360228,2,60,,
9415240,9415241,2,480,,
9415240,9415244,2,600,,
9415241,9415240,2,480,,
9415241,9415244,2,840,,
9415244,9415240,2,600,,
9415244,9415241,2,840,,
9415355,9415356,2,360,,
9415355,9415357,2,180,,
9415356,9415355,2,360,,
9415356,9415357,2,180,,
9415357,9415355,2,180,,
9415357,9415356,2,180,,
9435000,9435300,2,180,,
9435001,9435003,2,180,,
9435003,9435001,2,180,,
9435053,9435061,2,480,,
9435061,9435053,2,480,,
9435300,9435000,2,180,,
9435339,9435389,2,480,,
9435345,9435347,2,300,,
9435345,9435348,2,540,,
9435347,9435345,2,300,,
9435347,9435348,2,420,,
9435348,9435345,2,540,,
9435348,9435347,2,420,,
9435389,9435339,2,480,,
9435602,9435618,2,180,,
9435618,9435602,2,180,,
9435696,9435697,2,240,,
9435696,9435698,2,600,,
9435697,9435696,2,240,,
9435697,9435698,2,420,,
9435698,9435696,2,600,,
9435698,9435697,2,420,,
9445009,9445010,2,300,,
9445010,9445009,2,300,,
9445050,9445400,2,600,,
9445050,9445401,2,420,,
9445083,9445122,2,240,,
9445122,9445083,2,240,,
9445262,9445267,2,60,,
9445262,9445274,2,1080,,
9445262,9445278,2,1260,,
9445267,9445262,2,60,,
9445267,9445274,2,1140,,
9445267,9445278,2,1320,,
9445274,9445262,2,1080,,
9445274,9445267,2,1140,,
9445274,9445278,2,180,,
9445278,9445262,2,1260,,
9445278,9445267,2,1320,,
9445278,9445274,2,180,,
9445360,9445367,2,240,,
9445367,9445360,2,240,,
9445400,9445050,2,600,,
9445400,9445401,2,540,,
9445401,9445050,2,420,,
9445401,9445400,2,540,,
9445543,9445544,2,180,,
9445544,9445543,2,180,,
9445670,9445671,2,660,,
9445671,9445670,2,660,,
9445750,9445752,2,120,,
9445752,9445750,2,120,,
9445787,9445790,2,300,,
9445790,9445787,2,300,,
9445807,9445809,2,180,,
9445807,9445810,2,180,,
9445809,9445807,2,180,,
9445809,9445810,2,210,,
9445810,9445807,2,180,,
9445810,9445809,2,210,,
9445890,9445891,2,120,,
9445891,9445890,2,120,,
9445915,9445916,2,120,,
9445916,9445915,2,120,,
9445939,9445941,2,600,,
9445941,9445939,2,600,,
9445955,9445956,2,120,,
9445956,9445955,2,120,,
9445986,9445988,2,240,,
9445986,9445990,2,240,,
9445988,9445986,2,240,,
9445988,9445990,2,420,,
